"","id","tweet","pos","neg","senti"
"5",28973,"@united Are you planning to get any better United? Your flights have been very unpleasant and annoying lately! Wake up!",1,1,0
"63",29034,"@TaylorArmstrong -- They just said we hope you will think of us again when you travel - I will - I will think hell no! @united",1,1,0
"89",29060,".@United What's up w/ DUB? No electronic mobile boarding passes or a lounge for Premier 1K? Quite disappointed just when I saw improvements.",1,1,0
"91",29062,"@VirginAmerica @richardbranson had the worst experience with a virgin america booking and mostly with the customer service thereafter.",1,1,0
"92",29063,"One again I strongly urge @united to do something about putting credit card holders in group 3 instead of 2. This is getting ridiculous",1,1,0
"95",29066,"@united I have finally been able to board a plane, However, I am very unhappy with the services,",1,1,0
"161",29135,"Thanks @JetBlue for canceling flight 390 from DCA to BOS and completely destroying my #Halloween weekend plans.",1,1,0
"174",29148,"Award for worst customer service goes to @united",1,1,0
"237",29219,"I can categorically state I will never travel @AmericanAir again! Shame on you @British_Airways for selling this flight!",1,1,0
"239",29221,"@AmericanAir You guys just canceled a leg of my bf's flight. We have been on hold an hour. Our travel plans are not flexible. Help!",1,1,0
"250",29234,"@UCF_Football @JetBlue Ewwww. Hopefully they don't give the Knights a taste of losing badly.",1,1,0
"261",29245,"@united 20 #phish fans flying from JFK -&gt; LAS connecting in LAX, first flight was delayed, pls hold the 1:01 to LAS from LAX ~20 mins! xox",1,1,0
"270",29255,"@united oh, not your issue. Was surprised at the situation. Still made it through fast.",1,1,0
"281",29266,"Sad to hear the news about SpaceShip 2 @richardbranson @VirginAmerica",1,1,0
"323",29309,"@united Sorry it took long to respond, the people at the terminal itself were lifesavers, out front they are a mess",1,1,0
"345",29332,"@RDrils Ok, you're on track. Now unleash nasty @'s on real life people or on twitter. Example: ""The U in @united stands for 'fuck you.'""",1,1,0
"364",29352,"Travelling with @AmericanAir proves yet again to be it's usual shit show of a travel atrocity. #virginalltheway",1,1,0
"380",29369,"Very upset @Bravotv was the only channel not working during my @JetBlue flight, and the only channel I wanted to watch 😭 #jetblue #bravotv",1,1,0
"400",29391,"...yet I'm stuck on this plane, @AmericanAir has fuel issues yet again.",1,1,0
"427",29419,"No cheese plates or Dish Network on my @VirginAmerica flight. Devastated. Talk about first world problems...",1,1,0
"433",29425,"Waiting for over two hours at #yvr waiting for @united. Google now updates delays faster and more accurately than @united staff.",1,1,0
"453",29447,"@GratitudeDude11 @VirginAmerica There is nothing that will do to stop it. I hope she files a formal complaint on Virgin America #harassment",1,1,0
"460",29454,"@united - as a 1K who lost 6hrs waiting for ""Customer Service"" issues on Flt 365 to PDX I'm insulted that our time is only worth $100 to you",1,1,0
"472",29467,"Less than impressed with my 1st @united flight. Mom and I separated even though we booked seats together. Now stuck on the runway @heathrow",1,1,0
"505",29501,"@cw001956 @united is the worst airline regarding customer service, call to schedule new flight, desk agents the worst, carryon only!",1,1,0
"546",29543,"@united waiting for chase.  All I wanted was to join.  Rep said getting chase cc was better deal but now have to wait weeks.  Was in HOU",1,0,1
"549",29546,"Sitting on the tarmac waiting to get off plane... For 10 minutes now... With dozens of open gates... @united @MemphisAirport #wth hurry up",0,0,0
"553",29550,"Stuck at @portlandjetport because @united ops team is embarrassingly inefficient. This is why I should stick with @JetBlue",1,1,0
"554",29551,"Stuck at @portlandjetport because @united ops team is embarrassingly inefficient. This is why I should stick with @JetBlue",1,1,0
"558",29555,"@united its awful  --- we all laughed at who allowed this to be made.  Its 2nd rate and a sad attempt to be hip.   :(",1,1,0
"580",29579,"@united finally took off but missed my connection. Stuck in LAX for 3 or more hours, yay! #ugh",1,1,0
"602",29603,"@AmericanAir arrived in JFK been sitting in the plane for 45 mins due to technical difficulties. Will miss connecting flight please advise",1,1,0
"605",29606,"Rainy tarmac. #newyork #newyorkcity #nyc #laguardia @united #airlines #travel #photography http://t.co/nEzhstbVF2",1,1,0
"647",29651,"it was a horrible experience last time @united .. Hope i have a better one now,..",1,1,0
"657",29662,"@united it's unbelievable that your customer service is this terrible",1,1,0
"665",29670,"@united Are you able to cancel a reservation?",0,0,0
"668",29673,"@JetBlue plane isn't there yet, but I am pretty sure that we'll leave in 10 minutes. People are hiding from some really angry elderly guys",1,1,0
"684",29690,"Plane diverted BC of med emergency. Missed connecting flight. Landed and flights were already rebooked. Amazing service from @VirginAmerica.",1,1,0
"685",29691,"@JetBlue Amazing! My son lost Harry Potter pin on the MCO-BOS flight. Flight attendant bought 2 more &amp; mailed to him! Great customer service",1,1,0
"709",29715,"@AmericanAir $200 plus $150 to change my flight. You just lost me as a loyal customer for 15 yrs and an Advantage credit holder. #USURY",1,1,0
"746",29755,"@JetBlue I've been on hold for 45 minutes,,,",0,0,0
"754",29763,"@AmericanAir disgusting. I just watched passengers from my flight to Chicago that were connecting to LONDON get told they couldn't board.",1,1,0
"755",29764,"Really?@SouthwestAir claim I ws noshow in fact I xcld on http://t.co/jbIL16COrY Supervisor says I've lost $440 in travel funds #custservfail",1,1,0
"756",29765,"@AmericanAir My travel agent says my reservation has been cancelled TWICE now because of a merger between American and United. Is this true?",1,1,0
"817",29827,"@JetBlue waiting for those new dates!  Gotta bk that return flight from our cruise!  Cmon good deals, dont fail me now!!!",1,1,0
"824",29835,"@MrJordanWinter @VirginAmerica Don't hold your breath! Just expect the same copied &amp; pasted fake apology! #badservice",1,1,0
"862",29875,"@united yeah they handled it alright. Asked me ""how do we know it wasn't broken when you checked it?"" #calledmealiar .",1,1,0
"901",29915,"Which #airline do u fly with? I prefer @SouthwestAir ! Read my review about my missed flight experience http://t.co/5UyW8obO6L #travel #ttot",1,1,0
"914",29928,"@united wheres the sense of urgency on getting this flight into the air? #badcustomerservice and it's hot!!!",1,1,0
"932",29948,"@united you really did a number on me. Broken plane from PHX to Denver, missed my flight...not happy...at all. One person working desk...",1,1,0
"978",29997,"Seems @united iOS app has a daylight savings issue.  Notifications say my flight is an hour earlier than boarding pass, website, etc.",1,1,0
"999",30018,"Booked on @jetblue 1142 PBI-》BDL for 1:20pm departure today. So why am I now at FLL waiting to board @jetblue... https://t.co/CD302MOdxJ",0,0,0
"1005",30025,"@JetBlue is the worst airline to fly with. First they cancel, then delay connecting flight, now lost my fucking luggage. Thanks a lot.",1,1,0
"1010",30031,"Stuck on a @JetBlue plane full of @Patriots fans. Good thing they have @nflredzone Go @49ers",1,1,0
"1053",30075,"@AmericanAir hopefully won't miss my connection because of the broken jet bridge here in #crapchester",1,1,0
"1054",30076,"@TheeDonJulio  @jetblue as the norm we are once again stuck at the airport #jetblue Delays sucks!!!",1,1,0
"1066",30088,"you might be traveling too much when you wake up in the morning with the @VirginAmerica safety video song stuck in your",1,1,0
"1083",30105,"One of the worst customer service experiences w @united earlier, being a condescending and rude supervisor won't get you returning customers",1,1,0
"1104",30127,"@Alancumming @VirginAmerica so there customer services try to help following the same policy as everyone else and your not happy? Behave lad",1,1,0
"1108",30131,"@Alancumming @VirginAmerica That's fucked up, so many people are vegan or on special diets 2 live healthier, u shouldn't deprive them #$hame",1,1,0
"1112",30135,"@jlp922 I had a similar experience last year.  I've since switched almost exclusively to @DeltaAssist and couldn't be happier #travel",1,1,0
"1126",30150,"What I do for customer ???? Plane change to get to Dallas for VNX update tomorrow . @united  I will never made via NY http://t.co/nzw8NEwont",1,1,0
"1142",30167,"Called @JetBlue about the empty ticket counter and the customer service agent basically just said ""I can't do anything."" #ugh #grr",1,1,0
